input_width,label_width,SER_1%,SER_2%,SER_5%,SER_10%,SER_25%,SER_50%,SER_75%,RMSE
5,5,1.38099410144703,1.0740110449276,0.471583344413714,0.264670404811553,0.139313703676148,0.0403612771115112,0.0655496920387781,0.0358734214977488
5,5,1.13541275062204,0.821029611154051,0.45220159169358,0.330782312318927,0.0655906469504114,0.0894280408515475,0.0530141254315674,0.0354538351919182
5,5,1.60575201313386,0.92006592906999,0.530066812679234,0.307624305332892,0.139112249032006,0.0698461802779761,0.0597635027219286,0.0183430637084963
5,5,1.735843361626,0.794946191465723,0.398429324980648,0.246952468491807,0.138775935688538,0.0650748736776463,0.0378857634265822,0.0446980448893499
5,5,1.37154088298199,0.817906135439705,0.469539119507378,0.322422219790854,0.132988469115798,0.0837972881277458,0.0276154870933944,0.0422982676554336
5,5,1.53368760221752,0.769573207744369,0.480025760629434,0.315308256474361,0.122376889652728,0.0804301181924721,0.0450712377653525,0.0441875513617971
5,5,2.01787746930156,1.09865094422787,0.499358146822657,0.254753126346034,0.176728009083639,0.0460153546714346,0.0543833027792857,0.00930314234847368
5,5,1.34442354189525,1.08975483395779,0.533500463918911,0.319380530808823,0.127284267520346,0.0834227618540387,0.0330446353915254,0.0418158239030026
5,5,1.59001211535573,0.841846632950256,0.476461790324459,0.316774580537368,0.106028555796686,0.0980663846551549,0.0438199024181295,0.0390240091159223
5,5,1.39593270156526,0.976138201721358,0.304852401237071,0.240637246845777,0.112017419384768,0.07554843913437,0.0632863496824924,0.0545210607680412
5,5,1.73027821009842,1.18605723592661,0.34000680843869,0.299517749800322,0.152089025847354,0.0630234786125849,0.0380006606457287,0.04813932845913
5,5,1.40255381228942,0.49828464272923,0.43328088362976,0.167261259011379,0.101245224303168,0.0662346561210505,0.0643704305194142,0.0343899344120573
5,5,1.73438349317798,0.981193632106908,0.354356101033612,0.295087168427726,0.116938504902669,0.0953901888393021,0.0317725519170109,0.0502221648929836
5,5,1.10875457087514,0.951633573570202,0.509215556140842,0.322518069376907,0.15787044593358,0.0701483081468135,0.049507519989791,0.0519715684413167
5,5,1.22163006142929,0.768375068748578,0.551819062793607,0.243510264483213,0.144172237525399,0.0660030815195286,0.036688669548819,0.0427034751637097
5,5,1.3890839005582,0.868881993050004,0.486221617183777,0.270123121001593,0.113250700982888,0.0798081624412642,0.0563120663720439,0.0296807477385405
5,5,1.4385195942989,0.970592351349219,0.477565007613344,0.206457588081733,0.134101512388265,0.0538965799541638,0.0348469105311346,0.00606325079609467
5,5,1.59615112657337,0.708693297698132,0.400714580967004,0.255091103744881,0.11090421478995,0.0697330139602957,0.044910962782714,0.0518694889564069
5,5,1.55018992646187,0.815517572634481,0.531545735407607,0.312494362238345,0.126131232066181,0.0478326563602372,0.0765034684841692,0.0341651035573486
5,5,1.78061162709032,1.08512637931088,0.394889555188327,0.167544590336524,0.162221843044925,0.0664816431734018,0.0634171434662913,0.0402781614247975
5,5,1.74378730596212,1.24999836632697,0.404611566251956,0.255092802316128,0.155114433480051,0.0818809038840446,0.0561419978483225,0.05821148050281
5,5,2.01317628600335,1.14809294601415,0.433713754322171,0.335120631129708,0.151931296497209,0.0599248842819675,0.0529213328223591,0.033450045308879
5,5,1.31617940793267,1.05698400261879,0.577743129815728,0.206631740135943,0.133335437962767,0.0328383347156666,0.0446678641991635,0.0362729851285382
5,5,1.36406775427188,0.96850233117325,0.552095309682514,0.317388843523481,0.100824281329227,0.0571488059334846,0.0756213809480375,0.0518306935169704
5,5,1.35711673381884,0.877822659039984,0.526473417976488,0.288549542998387,0.120438715829129,0.0718049930625752,0.0268666296076615,0.0384547261664923
5,5,1.34705204090742,0.995546427368605,0.595626919773126,0.277093238978382,0.138991355131276,0.0495639174378238,0.0516336536378558,0.0481219903175067
5,5,1.22598014621938,0.884727172794927,0.592519536844734,0.270010091404504,0.147654876432341,0.0833933699875328,0.0282961570656215,0.0425433580270453
5,5,1.25541121877741,1.06573160724553,0.49678426707519,0.260019708743419,0.113304090312507,0.059750299036036,0.0556246285483605,0.0540460896320207
5,5,1.60879499815043,1.02466875837645,0.470223171147316,0.314800996247377,0.104480638448336,0.0967645967616851,0.0549861375662265,0.0490210475051565
5,5,1.04180124495733,0.964647249258383,0.678575262507126,0.326381676261653,0.109783786891708,0.0813874072166447,0.0434758347502385,0.0360461396120114
